id,oof_pred,resolution
159385,0,0
288616,0,0
108090,0,0
415607,0,0
332391,0,0
139903,0,0
30559,0,0
319690,0,0
79124,0,0
393163,0,0
102250,0,0
368595,0,0
70313,0,0
373064,0,0
395615,0,0
214929,0,0
435467,0,0
329210,0,0
241543,0,0
374665,0,0
336953,0,0
94365,0,0
263541,0,0
394396,0,0
281612,0,0
36817,0,0
162384,0,0
206273,0,0
236433,0,0
209814,0,0
272160,0,0
125936,0,0
342116,1,0
360600,0,0
421690,1,0
123140,0,0
221892,0,0
277145,1,0
382952,0,0
154744,0,0
92593,0,0
364512,0,0
29522,1,1
20281,0,0
95392,0,0
430367,0,0
179751,0,0
235630,0,0
419992,0,0
137818,0,0
407897,0,0
316687,0,0
369444,0,0
331847,0,0
191465,0,0
193491,0,0
137517,0,0
223053,0,0
356339,0,0
395567,0,0
145104,0,0
30286,0,0
345349,0,0
67934,0,0
78173,0,0
67117,0,0
22074,0,0
319934,0,0
431018,0,0
226695,0,0
179253,0,0
156456,0,0
133478,0,0
269932,0,0
281427,0,0
74490,0,0
20100,0,0
416164,0,0
296052,0,0
246024,0,0
318523,0,0
446753,0,0
46622,0,0
193445,0,0
89610,0,0
442426,0,0
329883,0,0
443663,0,1
197243,0,0
286709,0,0
304176,0,0
197061,0,0
345025,0,0
161890,0,0
214974,0,0
233266,0,0
5346,0,0
339628,0,0
351324,0,0
48720,0,0
338983,0,0
426571,0,0
182382,0,0
31679,0,0
318555,0,0
260187,0,0
72034,0,0
446185,0,0
412534,0,0
183119,0,0
307103,0,0
118159,0,0
105751,0,0
147164,0,0
417513,0,0
31481,0,0
423484,0,0
111694,0,0
83987,0,0
12937,0,0
199197,0,0
42592,0,0
74084,0,0
79230,0,0
62873,0,0
36259,0,0
862,0,0
94865,0,0
147694,0,0
48853,0,0
17908,0,0
48854,0,0
147696,0,0
172085,0,0
79232,0,0
327100,0,0
52148,0,0
51990,0,0
52634,0,0
205429,0,0
110238,0,0
80422,0,0
216892,0,0
415826,0,0
428533,0,0
333891,0,0
83292,0,0
228271,0,0
228073,0,0
114428,0,0
144860,0,0
86137,0,0
289920,0,0
313478,0,0
304237,0,0
58471,0,0
206758,0,0
219592,0,0
147316,0,0
417872,0,0
283683,0,0
395933,0,0
56243,0,0
433834,0,0
355196,0,0
211223,0,0
34553,0,0
141280,0,0
212927,0,0
395413,0,0
388513,1,0
313804,0,0
73260,0,0
267372,0,0
284176,0,0
302140,0,0
15891,0,0
341634,0,1
408310,0,0
268644,0,0
397491,0,0
351339,0,0
78964,0,0
329703,0,0
29587,0,0
149609,0,0
218783,0,0
347018,0,0
7998,0,0
419592,0,0
194318,0,0
114141,0,0
129835,0,0
99078,0,0
259802,0,0
155146,0,0
349612,0,0
270065,0,0
249454,0,0
124776,0,0
441631,0,0
48012,0,0
221246,0,0
236183,0,0
322020,0,0
35260,0,0
392219,0,0
283415,0,0
313733,0,0
292519,0,0
23887,0,0
93181,0,0
295338,0,0
165047,1,0
384026,0,0
334408,0,0
193219,0,0
147090,1,0
239320,0,0
206011,0,0
271027,0,0
158654,0,0
166452,0,0
177629,0,0
223258,0,0
46497,0,0
128030,0,0
188984,0,0
117536,0,0
96841,0,0
322000,0,0
194224,0,0
201970,0,0
152718,0,0
56844,0,0
258582,0,0
360067,0,0
